level3,level2
ASDC_mDC,ASDC
ASDC_pDC,ASDC
B-intermediate-kappa,B-intermediate
B-intermediate-lambda,B-intermediate
B-memory-kappa,B-memory
B-memory-lambda,B-memory
B-naive-kappa,B-naive
B-naive-lambda,B-naive
CD14-Mono,CD14-Mono
CD16-Mono,CD16-Mono
CD4-CTL,CD4-CTL
CD4-Naive,CD4-Naive
CD4-Proliferating,CD4-Proliferating
CD4-TCM_1,CD4-TCM
CD4-TCM_2,CD4-TCM
CD4-TCM_3,CD4-TCM
CD4-TEM_1,CD4-TEM
CD4-TEM_2,CD4-TEM
CD4-TEM_3,CD4-TEM
CD4-TEM_4,CD4-TEM
CD8-Naive,CD8-Naive
CD8-Naive_2,CD8-Naive
CD8-Proliferating,CD8-Proliferating
CD8-TCM_1,CD8-TCM
CD8-TCM_2,CD8-TCM
CD8-TCM_3,CD8-TCM
CD8-TEM_1,CD8-TEM
CD8-TEM_2,CD8-TEM
CD8-TEM_3,CD8-TEM
CD8-TEM_4,CD8-TEM
CD8-TEM_5,CD8-TEM
CD8-TEM_6,CD8-TEM
cDC1,cDC1
cDC2_1,cDC2
cDC2_2,cDC2
dnT_1,dnT
dnT_2,dnT
Eryth,Eryth
gdT_1,gdT
gdT_2,gdT
gdT_3,gdT
gdT_4,gdT
HSPC,HSPC
ILC,ILC
MAIT,MAIT
NK_1,NK
NK_2,NK
NK_3,NK
NK_4,NK
NK_CD56bright,NK_CD56bright
NK-Proliferating,NK-Proliferating
pDC,pDC
Plasma,Plasmablast
Plasmablast,Plasmablast
Platelet,Platelet
Treg-Memory,Treg
Treg-Naive,Treg
